epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
68,31836.1,0.38762,0.4403,0.10481,0.61966,0.76489,0.71155,0.56604,0.33696,0.58066,0.13793,0.000177104,0.000177104,0.000177104
69,32288.9,0.37866,0.44546,0.10643,0.63726,0.76743,0.70191,0.56731,0.32948,0.58526,0.13756,0.000171897,0.000171897,0.000171897
70,32749.5,0.41001,0.47714,0.11572,0.6478,0.7907,0.72222,0.58224,0.33359,0.56404,0.13145,0.000166689,0.000166689,0.000166689
71,33212.7,0.40452,0.46467,0.11762,0.65602,0.78914,0.72301,0.57952,0.3285,0.58068,0.12971,0.000161482,0.000161482,0.000161482
72,33666.5,0.41047,0.43796,0.11155,0.66627,0.78754,0.73231,0.58754,0.31468,0.57819,0.12667,0.000156275,0.000156275,0.000156275
73,34126.9,0.39752,0.45838,0.10764,0.69757,0.78429,0.73249,0.5849,0.32752,0.58185,0.13562,0.000151067,0.000151067,0.000151067
74,34588.8,0.3645,0.43715,0.0964,0.73258,0.76174,0.72947,0.56608,0.36458,0.57298,0.15041,0.00014586,0.00014586,0.00014586
75,35049.5,0.4334,0.45521,0.12917,0.71893,0.74281,0.72471,0.56878,0.363,0.57,0.15049,0.000140652,0.000140652,0.000140652
76,35517.5,0.37282,0.43568,0.10191,0.71598,0.73995,0.7262,0.5807,0.35707,0.56027,0.15598,0.000135445,0.000135445,0.000135445
77,35976.9,0.37431,0.4619,0.10395,0.73448,0.745,0.72018,0.59098,0.32785,0.5614,0.13846,0.000130238,0.000130238,0.000130238
78,36439.7,0.36729,0.43588,0.09063,0.69481,0.75773,0.72362,0.59065,0.31999,0.57151,0.13215,0.00012503,0.00012503,0.00012503
79,36903.9,0.36532,0.4446,0.10795,0.70302,0.77703,0.72854,0.56836,0.34491,0.57171,0.14247,0.000119823,0.000119823,0.000119823
